fixed acidity,citric acid,residual sugar,sulfur dioxide,density,pH,alcohol,quality
6.5,0.34,16.3,197,1.0004,3.49,9.8,5
6.3,0.29,6.2,227,0.9952,3.29,10.1,6
6.8,0.33,4.7,118,0.9956,3.43,9,7
6.3,0.25,5.8,155,0.995,3.28,9.4,6
6.3,0.25,5.8,155,0.995,3.28,9.4,6
7.4,0.37,16.95,190,0.9995,3.03,9.2,6
6.3,0.21,5.1,142,0.9942,3.36,10.1,7
7.3,0.69,10.2,160,0.9977,3.06,8.6,5
5.2,0.45,3.8,128,0.992,3.55,11.2,8
7,0.32,1.3,123,0.992,3.17,11.2,8
7.4,0.37,16.95,190,0.9995,3.03,9.2,6
7,0.33,4,127,0.9934,3.19,10.6,7
8.3,0.58,17.1,213,1.0006,3.01,9.3,6
7.2,0.35,14.5,178,0.9982,3.05,8.9,6
7.1,0.4,1.2,156,0.9928,3.42,10.6,6
8.4,0.31,6.7,132,0.9945,3.1,10.6,7
7.4,0.31,8.4,183,0.9963,3.09,8.8,5
5.3,0.33,1.3,97,0.9906,3.59,11,8
6.5,0.26,8.8,139,0.9956,3.32,10.2,6
6.3,0.21,5.1,142,0.9942,3.36,10.1,7
6.5,0.25,10.6,120,0.9962,3.31,10.1,6
5.8,0.21,2.6,120,0.9894,3.39,14,7
6.3,0.25,5.8,155,0.995,3.28,9.4,6
6.3,0.42,2.8,107,0.9908,3.27,11.8,6
6.3,0.4,1.6,148,0.9914,3.44,11.4,5
7.9,0.39,6.7,117,0.9938,3.12,10.7,5
7.3,0.69,10.2,160,0.9977,3.06,8.6,5
5.5,0.45,4.9,191,0.9922,3.51,11.5,7
5.2,0.45,3.8,128,0.992,3.55,11.2,8
7.2,0.15,2,87,0.9903,3.3,12.6,7
6.1,0.27,1.7,76,0.9893,3.21,12.6,7
9.2,0.4,2.4,151,0.9952,3.04,9.3,4
7.2,0.15,2,87,0.9903,3.3,12.6,7
8,0.37,1.3,96,0.9912,3.06,12.1,6
6.5,0.34,12,177,0.9983,3.52,9.9,6
7.4,0.4,1.6,102,0.9937,3.28,10.7,5
6.5,0.17,1.4,26,0.9932,3.26,10,4
7,0.38,2.2,96,0.9928,3.13,10.4,8
5.9,0.13,1.4,64,0.9922,3.29,10.5,5
8.1,0.34,8.3,216,0.9976,3.31,9.7,5
5.8,0.13,1.4,64,0.9922,3.29,10.5,5
6.4,0.16,12.9,138,0.9974,3.28,9,5
6.7,0.32,12.4,106,0.998,3.54,9.2,6
6,0.3,1.6,117,0.9931,3.17,10.1,6
6.6,0.39,1.45,89,0.9911,3.35,11.4,7
6.3,0.45,13,182,0.9974,3.2,9.2,6
6.5,0.29,1.95,166,0.989,3.12,12.9,7
6.4,0.29,5.85,99,0.992,3.23,12,7
5.7,0.27,1.3,100,0.9928,3.27,9.5,5
7.9,0.29,5.3,117,0.9918,3.06,11.8,7
6.9,0.28,1.2,159,0.9936,3.19,9.1,6
6.9,0.34,4,128,0.9944,3.2,9.7,6
6.8,0.31,14.35,162,0.9988,3.17,9.1,5
8.7,0.42,2.3,114,0.994,2.99,10,5
7.4,0.34,4.7,127,0.9953,3.25,10.4,5
6.7,0.34,12.85,161,0.9986,3.44,9.5,6
6,0.42,5.2,178,0.9914,3.4,12.3,8
6.1,0.37,8.4,170,0.9934,3.42,11.7,8
9.2,0.46,3.2,133,0.996,3.14,9.5,5
9,0.49,6.9,91,0.9937,2.99,11.5,5
8.5,0.33,1,57,0.9921,3.14,10.6,6
9.3,0.49,7.3,146,0.998,3.17,10.2,5
9.2,0.46,3.2,133,0.996,3.14,9.5,5
7.2,0.3,1.6,131,0.9933,3.25,10.5,5
7.2,0.32,1.5,132,0.9933,3.26,10.5,5
6.8,0.18,7.5,223,0.9959,3.14,8.9,5
9.1,0.32,1.1,151,0.9936,3.03,10.6,5
8.9,0.32,1.3,188,0.9953,3.17,9.5,5
7,0.37,5.7,111,0.9938,3.2,10.8,6
6.7,0.23,7.2,220,0.9952,3.14,9.5,5
6.9,0.17,7.6,219,0.9959,3.13,8.9,5
6.8,0.18,7.5,223,0.9959,3.14,8.9,5
5.3,0.07,1.3,102,0.992,3.5,10.6,6
7.9,0.3,4.8,171,0.9967,3.47,9,4
7.6,0.36,2.1,172,0.9944,3.42,10.5,4
7.8,0.29,16.85,135,0.9998,3.16,9,6
7.8,0.29,16.85,135,0.9998,3.16,9,6
7.8,0.29,16.85,135,0.9998,3.16,9,6
7.5,0.34,1.3,153,0.9945,3.29,9.6,6
7.8,0.29,16.85,135,0.9998,3.16,9,6
6.6,0.41,7.4,151,0.9946,3.15,10.2,7
8.2,0.49,0.9,73,0.9928,3.07,10.4,6
6,0.32,6.3,129,0.9946,3.52,10.4,5
6.1,0.27,0.8,82,0.9927,3.23,9.5,5
7.4,0.43,1.4,113,0.9938,3.22,10.6,6
7.2,0.38,1,74,0.9918,3.21,11,5
7.5,0.34,1.3,153,0.9945,3.29,9.6,6
7.7,0.43,4.5,115,0.9966,3.38,9.9,6
7.6,0.44,1.9,119,0.9913,3.01,12.8,6
7.4,0.33,2,101,0.9931,3.42,11.4,5
7.2,0.26,12.7,214,0.9986,3.41,10,6
6.4,0.41,8.6,173,0.9965,3,9.1,5
6.3,0.35,11.1,198,0.9984,3.36,9.4,7
6.8,0.29,2,189,0.9952,3.46,10.2,6
7.2,0.25,4.5,109,0.9949,3.23,9.4,5
7.5,0.45,9.1,125,0.996,3.12,10.1,6
7.4,0.33,2,101,0.9931,3.42,11.4,5
6.4,0.3,2.2,134,0.992,3.21,10.6,6
7.9,0.32,4.1,138,0.9912,3.18,12.8,7
6.5,0.64,11.8,225,0.9978,3.12,8.9,5
7.5,0.37,1.2,184,0.9938,3.09,9.3,5
6.6,0.38,2.2,104,0.9914,3.25,11.1,8
7.1,0.3,1.4,143,0.9932,3.13,9.9,6
7.6,0.47,1.6,55,0.9944,3.1,9.6,5
7.6,0.44,1.9,119,0.9913,3.01,12.8,6
6.9,0.26,5.2,135,0.9948,3.16,10.7,7
7.1,0.32,14.45,107,0.998,2.96,9.2,6
7.3,0.4,14.75,129.5,0.9998,3.36,9.1,7
6.2,0.22,8.3,216,0.9964,3.33,9.6,6
7.9,0.45,14.2,141,0.9992,3.03,9.2,6
6.9,0.26,5.2,135,0.9948,3.16,10.7,7
7.3,0.4,14.75,129.5,0.9998,3.36,9.1,7
7.1,0.32,14.45,107,0.998,2.96,9.2,6
7.4,0.37,6.9,93,0.9939,3,10.7,7
6.8,0.37,1.5,93,0.992,3.3,10.8,6
7,0.37,1.5,75,0.9922,3.3,10.8,7
6.4,0.38,7.8,192,0.9955,3.1,9,5
5,0.16,1.5,97,0.9917,3.48,10.7,6
5,0.16,1.5,97,0.9917,3.48,10.7,6
8.9,0.32,1.5,200,0.9954,3.19,9.4,5
7,0.46,15.55,171,0.9986,2.94,8.8,6
6.4,0.38,7.8,192,0.9955,3.1,9,5
6.3,0.4,1.7,134,0.9917,3.42,11.5,6
8,0.46,1.5,125,0.9907,3.23,12.5,6
9.2,0.41,1,59,0.9922,2.96,10.5,6
7.3,0.39,6.7,188,0.9958,3.29,9.7,5
7.6,0.36,1.6,155,0.993,3.23,11.3,6
5,0.16,1.5,97,0.9917,3.48,10.7,6
8,0.42,7.1,169,0.9959,3.17,10.6,5
8.2,0.36,1,93,0.9906,3.04,11.7,8
7.2,0.44,7.1,126,0.993,3.02,11.1,8
8.2,0.36,1,93,0.9906,3.04,11.7,8
6.4,0.33,1.15,217.5,0.992,3.33,11,6
5.9,0.32,6,127,0.992,3.51,12.5,7
7.6,0.39,1.2,115,0.994,3.16,10,6
8,0.42,7.1,169,0.9959,3.17,10.6,5
7.2,0.39,2.3,102,0.9908,3.26,12.3,7
6.8,0.37,3.4,87,0.9902,3.14,12.7,6
7.2,0.39,2.3,102,0.9908,3.26,12.3,7
6.9,0.38,6.5,110,0.9943,3.1,10.5,5
8.3,0.42,1.15,96,0.9911,3.2,12.4,3
7.3,0.3,13,238,0.9986,3.06,8.7,6
7.9,0.37,4.5,114,0.992,3.17,12.4,7
7.9,0.37,5.85,93,0.992,3.16,12.6,7
7.7,0.3,5.2,131,0.9943,3.38,11,6
7.7,0.31,1.3,155,0.9937,3.42,10.1,6
7.8,0.31,1.7,195,0.993,3.03,10.5,5
6.8,0.37,3.4,87,0.9902,3.14,12.7,6
7.3,0.39,3.6,116,0.9928,3.17,10.9,5
7.1,0.37,2.7,128,0.9896,3.07,13.5,7
7.9,0.28,1.8,178,0.9954,3.45,9.2,6
7.4,0.42,2.1,187,0.9938,3.4,10.6,7
8.1,0.42,6.6,141,0.9918,2.98,13.3,7
7.1,0.37,2.7,128,0.9896,3.07,13.5,7
6.4,0.22,5.1,131,0.9944,3.29,10.1,5
8,0.4,5.2,167,0.9953,3.18,10.6,7
7.2,0.34,1.1,80,0.992,3.25,11.3,6
7.2,0.31,1.1,73,0.9925,3.32,10.8,7
8.4,0.44,10.7,195,0.9981,3.15,10.4,5
5.7,0.33,1.1,150,0.9927,3.13,9.3,5
5.6,0.32,1.1,152,0.9927,3.12,9.3,6
7.3,0.41,1.8,165,0.9911,3.29,12.2,7
7.3,0.65,1.4,157,0.9946,3.33,9.4,6
6.9,0.16,6.8,212,0.9955,3.08,9,6
6.2,0.38,6.8,245,0.9951,3.06,9.3,6
6.4,0.3,7.1,236,0.9952,3.06,9.2,6
7.3,0.68,1.5,156,0.9946,3.32,9.4,6
7.3,0.65,1.4,157,0.9946,3.33,9.4,6
7.2,0.35,1.2,73,0.9938,3.46,9.9,5
6.9,0.34,7.4,174,0.9963,3.46,11.1,7
7.5,0.34,4.2,116,0.991,2.99,12.3,8
8,0.42,14.6,163,1.0003,3.21,8.6,7
7.6,0.29,10.5,145,0.9966,3.04,9.4,5
8.4,0.56,13.8,190,0.9993,3.07,9.4,6
8,0.42,14.6,163,1.0003,3.21,8.6,7
8.1,0.47,1.1,126,0.9938,3.21,10.9,5
8.1,0.47,1.1,126,0.9938,3.21,10.9,5
8.4,0.56,13.8,190,0.9993,3.07,9.4,6
6.2,0.27,1.5,132,0.9938,3.22,9.2,6
8,0.42,14.6,163,1.0003,3.21,8.6,7
7.6,0.29,10.5,145,0.9966,3.04,9.4,5
7,0.36,4.9,133,0.9942,3.33,10.8,6
6.6,0.3,1.9,153,0.9928,3.29,10.5,6
7.8,0.41,1.7,140,0.991,3.02,12.5,6
7.7,0.34,1.8,168,0.9911,2.99,12.1,7
8,0.36,8.8,151,0.9927,3.07,12.7,8
7.7,0.34,1.8,168,0.9911,2.99,12.1,7
7.8,0.41,1.7,140,0.991,3.02,12.5,6
6.6,0.29,1.8,147,0.9912,3.06,11.4,7
8.3,0.4,1.6,110,0.9907,3.02,12.9,7
7.2,0.33,1.4,109,0.9902,3.15,12.8,7
6.6,0.3,1.6,78,0.992,3.38,11.2,6
8.4,0.33,1.5,98,0.994,3.14,9.7,6
7.5,0.32,9.2,191,0.9966,3.04,9.7,6
6.2,0.3,1.1,79,0.993,3.5,10.3,6
7.5,0.32,9.2,191,0.9966,3.04,9.7,6
7.5,0.33,5,131,0.9942,3.32,10.9,6
7.3,0.38,6.8,122,0.9925,3.19,12.6,7
7.3,0.39,5.2,163,0.9925,3.3,12.4,6
7.8,0.28,4.75,166,0.9928,2.96,11.5,5
9,0.38,5.9,159,0.995,2.93,10.2,6
6.9,0.4,7.7,176,0.9939,3.22,11.4,5
7.4,0.42,6.4,212,0.9958,3.3,9.6,6
8.2,0.36,8.1,163,0.9952,3.05,10.3,6
7.9,0.45,1.8,114,0.9948,3.33,10.7,7
6.8,0.4,1.8,105,0.99,3.13,12.8,8
9.2,0.68,1.6,130,0.9948,3.02,10.4,6
5.2,0.08,13.5,142,0.997,3.46,9.9,6
6.3,0.22,3.75,116,0.9927,3.23,10.7,6
9.2,0.42,1.3,186,0.9949,3.08,9.6,5
6.4,0.4,6.2,169,0.9953,3.15,9.3,6
8.1,0.36,9.7,162,0.997,3.1,10,6
7.9,0.26,2,190,0.9932,3.04,11.2,6
7,0.34,1.4,177,0.9927,3.32,10.8,5
6.4,0.31,1.1,96,0.9932,3.54,10.3,6
6.4,0.53,6.6,234,0.9955,3.03,8.8,5
7.6,0.42,1.5,114,0.9914,3.04,12.8,6
7.3,0.37,4.6,114,0.991,3.23,13.2,6
5.1,0.3,0.9,152,0.992,3.54,10.1,6
6.2,0.26,1.7,161,0.9924,3.44,11,5
6.9,0.35,1.3,182,0.9927,3.25,10.8,6
7.7,0.48,2.3,114,0.9911,3.2,12.8,7
6.8,0.33,1.5,167,0.9928,3.12,10.5,6
5.2,0.33,1.2,81,0.9902,3.37,11.7,6
8.4,0.43,2.1,104,0.994,2.85,9.5,5
8.3,0.41,2.2,108,0.994,2.85,9.5,5
6.8,0.32,8.8,110,0.9972,3.4,8.8,6
7.9,0.64,17,210,1.0004,3.15,9.3,7
7.8,0.39,1.8,180,0.991,3.09,12.6,8
9,0.5,1.2,107,0.9918,3.21,12.4,6
7.8,0.36,7,161,0.9941,3.26,11.2,8
6.7,0.3,6.4,251,0.9956,3.29,10,5
6.7,0.3,6.4,251,0.9956,3.29,10,5
7.2,0.32,0.8,121,0.9922,3.27,10,6
7.6,0.23,2,151,0.9931,3.04,10.4,5
6.6,0.31,12.4,181,0.9984,3.51,9.8,6
7.3,0.37,1.9,165,0.9908,3.26,12.2,8
7.3,0.37,1.1,113,0.991,3.39,12.7,8
7,0.39,6.2,163,0.9928,3.21,12.2,7
8.2,0.4,6.3,162,0.9936,3.15,11.9,7
7.8,0.36,7,161,0.9941,3.26,11.2,8
9.2,0.39,0.9,61,0.9924,2.96,10.4,4
8,0.39,3.9,122,0.9917,3.29,12.8,7
6.5,0.33,3.9,130,0.9906,3.28,12.7,7
6.7,0.3,6.4,251,0.9956,3.29,10,5
7.8,0.3,1.8,179,0.9955,3.43,9,5
7.6,0.41,1.1,143,0.9907,2.92,11.4,5
7.3,0.41,15.4,191,1,3.32,8.9,6
6.3,0.4,6.5,167,0.9953,3.15,9.3,6
6.8,0.32,2.4,103,0.9911,3.28,12,8
6.5,0.32,1.4,132,0.9922,3.36,10.8,7
6.2,0.26,5.7,158,0.9951,3.52,10.5,6
6,0.28,5.7,189.5,0.9948,3.59,10.6,7
6.4,0.33,1.4,115,0.9906,3.19,11.3,7
6.9,0.16,1.4,96,0.994,3.22,9.5,4
7.6,0.41,1.1,143,0.9907,2.92,11.4,5
6.7,0.28,1.2,140,0.9927,3.33,10.1,7
7,0.41,0.9,95,0.9914,3.25,10.9,6
7.6,0.24,3.8,115,0.9958,3.15,8.9,5
7.3,0.41,15.4,191,1,3.32,8.9,6
7.6,0.39,1.9,116,0.9941,3.25,10.4,6
8.3,0.41,9.2,162,0.9944,3.1,12,7
6.9,0.34,2.7,121,0.9902,3.14,12.4,7
6.2,0.32,1.7,130,0.9911,3.28,11.2,7
6.9,0.41,1.7,134,0.9929,3.15,11.4,6
6.9,0.41,1.7,136,0.993,3.16,11.4,6
6.9,0.3,1.6,132,0.9918,3.35,11.1,7
6.9,0.2,0.9,126,0.992,3.1,10.4,6
6.9,0.32,8.5,152,0.9932,3.38,12,7
5.7,0.3,5.7,98,0.992,3.54,12.3,7
6.6,0.16,3.1,92,0.994,3.12,9.1,6
7.1,0.56,1.3,102,0.9923,3.24,10.5,6
6.8,0.4,1.6,133,0.993,3.23,11.4,6
6.6,0.33,2.8,85,0.99,3.28,13.4,6
7.3,0.29,1.2,143,0.9918,3.2,11.3,7
8.1,0.4,0.9,180,0.9926,3.06,10,6
5.9,0.26,7.4,123,0.995,3.49,10.1,6
6.2,0.47,1.4,81,0.99,3.26,12.2,6
6.6,0.33,2.8,85,0.99,3.28,13.4,6
5.7,0.3,4.6,101,0.9946,3.31,9.3,6
6.9,0.33,1.6,98,0.9898,3.09,12.3,7
7.3,0.29,1.2,143,0.9918,3.2,11.3,7
7.3,0.36,13.1,200,0.9986,3.04,8.9,7
7.3,0.36,13.1,200,0.9986,3.04,8.9,7
7,0.34,5.7,83,0.9928,3.19,11.5,6
7.3,0.36,13.1,200,0.9986,3.04,8.9,7
7.4,0.29,5.4,122,0.994,3.3,11.1,8
7.1,0.31,2.2,128,0.9937,3.34,10.9,8
9,0.48,6.6,73,0.9938,2.9,11.6,5
6.3,0.24,6.9,117,0.9942,3.15,10.2,4
8.2,0.36,6.8,90,0.9944,3.01,10.5,8
7.1,0.28,3.6,78,0.993,2.91,11.4,6
7.3,0.36,13.1,200,0.9986,3.04,8.9,7
7.9,0.34,1.2,118,0.9932,3.14,10.6,6
7.1,0.32,5.9,97,0.9934,3.31,11.6,6
7,0.34,5.7,83,0.9928,3.19,11.5,6
6.9,0.33,4.1,155,0.9925,3.25,12.3,8
8.1,0.49,7.1,124,0.9944,3.14,10.8,6
5.8,0.3,1.4,130,0.9909,3.29,11.3,6
5.9,0.02,0.8,63,0.9932,3.36,9.3,5
6.6,0.26,1.3,128,0.9934,3.36,10,6
9.2,0.49,11.8,137,0.998,3.1,10.1,4
6.2,0.49,4.5,90,0.9919,3.27,11.6,6
5.3,0.24,1.1,105,0.9925,3.32,9.1,5
8.1,0.49,7.1,124,0.9944,3.14,10.8,6
6.8,0.49,0.9,128,0.991,3.25,11.4,6
7.2,0.49,1,140,0.99,3.05,12.7,6
7.4,0.49,1.1,156,0.9917,3.13,11.3,5
8.2,0.49,1.1,81,0.9923,3,10.4,7
6.1,0.49,1.5,87,0.9928,3.3,9.6,5
7,0.24,1,119,0.9923,3,10.1,4
6.1,0.49,1.5,87,0.9928,3.3,9.6,5
6.5,0.49,2.9,94,0.9902,3.1,12.1,7
7.1,0.49,1.2,99,0.9893,3.07,12.2,6
7.4,0.49,1.1,156,0.9917,3.13,11.3,5
6.9,0.24,14.2,94,0.9982,3.17,9.6,5
8.2,0.49,1.1,81,0.9923,3,10.4,7
6.3,0.49,7.1,210,0.9951,3.23,9.5,5
6.1,0.49,7.6,226,0.9956,3.16,8.9,5
7.2,0.24,1.4,117,0.9928,3.16,10.5,5
8,0.49,1.2,117,0.9938,3.08,9.4,5
7,0.49,5.3,125,0.9914,3.24,12.2,6
7.8,0.49,13,158,0.9955,3.14,11.3,6
6.3,0.49,1.2,92,0.9911,3.38,12.2,6
7.4,0.49,1.2,150,0.9917,3.23,11.2,6
7.4,0.49,1.2,150,0.9917,3.23,11.2,6
6.9,0.49,6.6,172,0.9932,3.2,11.5,6
7.8,0.49,13,158,0.9955,3.14,11.3,6
7.2,0.49,1.1,138,0.9929,3.01,9.3,5
7.8,0.49,13,158,0.9955,3.14,11.3,6
7.6,0.49,14,156,0.9958,3.14,11.8,7
8.3,0.49,19.8,231,1.0012,2.99,9.2,5
6.3,0.49,1.2,92,0.9911,3.38,12.2,6
7.9,0.49,4.5,133,0.9946,3.24,10.6,6
6.4,0.49,5.4,164,0.9946,3.56,10.8,6
7.4,0.49,1.2,150,0.9917,3.23,11.2,6
8.3,0.49,1.2,137,0.9918,3.06,11,6
8,0.49,9.1,151,0.9926,3.16,12.7,8
6.9,0.49,6.6,172,0.9932,3.2,11.5,6
7.1,0.49,3,96,0.9903,3.13,12.3,7
6.5,0.24,1.6,60,0.9928,3.19,9.8,5
7.2,0.49,1.1,138,0.9929,3.01,9.3,5
7.6,0.49,14,156,0.9958,3.14,11.8,7
7.8,0.49,13,158,0.9955,3.14,11.3,6
7.8,0.49,1.35,48,0.9911,3.15,11.4,5
7,0.49,5.9,128,0.9938,3.21,10.8,6
6.9,0.24,3.6,85,0.9942,2.99,9.5,4
7.2,0.49,1.3,148,0.9945,3.46,10.2,6
7.6,0.24,1.2,104,0.992,3.05,10.8,6
7.9,0.24,4.6,159,0.9927,2.99,11.5,6
7.7,0.49,2,124,0.9948,3.32,10.7,6
7.2,0.49,1.3,148,0.9945,3.46,10.2,6
6.6,0.24,1.7,124,0.9942,3.37,10.1,6
6.7,0.49,2.4,187,0.9952,3.62,10.4,6
6.9,0.24,3.6,85,0.9942,2.99,9.5,4
7.5,0.24,4.6,134,0.9958,3.14,9.1,3
7.4,0.49,1.5,126,0.9918,2.98,10.6,6
6.2,0.49,0.9,51,0.9932,3.3,9.4,6
5.6,0.49,1.1,117,0.9918,3.55,10.3,6
7.5,0.49,1.3,97,0.9918,3.06,11.1,5
8,0.49,9.4,188,0.9964,3.14,10,5
8,0.49,9,180,0.9936,3.13,12.3,8
7.7,0.49,8.65,186,0.9931,3.14,12.4,8
7.6,0.49,9.6,197,0.9938,3.13,12.3,7
6.8,0.49,1.2,126,0.99,3.13,12.1,7
7.7,0.49,1.8,86,0.9914,3.16,12.5,6
6.7,0.24,2.1,155,0.9904,3.22,13,6
7.4,0.49,9.3,132,0.994,2.99,11,7
8.3,0.49,1.7,169,0.9938,3.05,10.1,5
6.6,0.24,1.2,121,0.9933,3.13,9.2,5
6.8,0.24,4.6,124,0.9909,3.27,12.6,7
9.2,0.49,1.5,130,0.9945,3.04,9.8,7
8.1,0.49,8.1,205,0.9954,3.1,11,6
6.8,0.49,14.5,170,0.9991,3.55,9.8,6
7.9,0.49,1.6,144,0.993,3.16,10.5,5
8,0.49,1.8,145,0.9942,3.23,10,5
7.3,0.49,9.4,134,0.9939,2.99,11,7
7.3,0.49,9.9,161,0.9937,3.01,11.2,6
7.4,0.49,9.3,132,0.994,2.99,11,7
7.3,0.49,1.3,136,0.9926,3.14,10.5,6
8.2,0.49,9.6,154,0.9951,3.02,10.6,6
8.2,0.49,9.3,163,0.9952,3.02,10.6,6
8.4,0.49,7.8,95,0.9935,3.04,12,6
8.3,0.49,1.7,169,0.9938,3.05,10.1,5
8.3,0.49,1.7,167,0.9939,3.05,10.1,6
6.6,0.24,1.2,121,0.9933,3.13,9.2,5
6.9,0.49,1.4,164,0.9927,3.25,11,5
8,0.49,9,185,0.998,3.34,10,6
6.6,0.49,18.15,158,0.9997,3.28,8.7,6
7.9,0.49,7.7,195,0.9954,3.04,11,6
7.4,0.49,1.1,156,0.992,3.15,11.1,6
6.6,0.49,18.15,158,0.9997,3.28,8.7,6
8.1,0.49,8.1,174,0.9943,3.1,11.2,7
7.5,0.49,7.7,209,0.9941,3.14,11.1,7
7.3,0.49,5,107,0.9936,3.24,10.8,6
8.5,0.49,1.5,122,0.9932,3.03,10.3,6
8.9,0.49,1,24,0.9926,2.91,9.9,5
8.1,0.49,1,148,0.9936,3.13,10,6
6,0.49,1,106,0.992,3.21,9.8,6
7.3,0.49,5,107,0.9936,3.24,10.8,6
7.1,0.24,0.8,86,0.993,3.16,9.1,4
7.2,0.49,1.3,104,0.9924,3.23,10.6,6
7.3,0.49,1.1,99,0.9928,3.2,10.6,6
8.9,0.49,1,24,0.9926,2.91,9.9,5
7.9,0.49,5.2,152,0.9952,3.18,10.6,6
6.7,0.49,4.7,156,0.9945,3.13,9.9,6
6.7,0.49,4.8,158,0.9945,3.12,9.9,6
7.1,0.24,1.8,102,0.9903,3.34,12.8,6
8.5,0.49,1.5,122,0.9932,3.03,10.3,6
7.9,0.49,5.2,157,0.9953,3.18,10.6,6
7.3,0.49,1.8,152,0.9912,3.32,12.6,7
6.9,0.49,7.6,156,0.9962,3.43,11,7
7.9,0.49,8.2,164,0.9965,3.29,11.2,7
6.9,0.49,1.3,148,0.9932,3.45,10.7,7
7.6,0.49,10,182,0.9967,3.08,9.6,6
7.9,0.49,5.2,157,0.9953,3.18,10.6,6
6.2,0.49,6.4,115,0.9963,3.27,9,4
8.8,0.49,1,56,0.992,2.96,10.5,4
9.1,0.49,2,112,0.9958,3.15,10.1,5
7.1,0.49,1.5,126,0.99,3.3,12.2,7
9.1,0.49,2,112,0.9958,3.15,10.1,5
8.5,0.49,3.5,117,0.9938,3.14,10.1,6
7.6,0.49,18.05,158,0.9996,3.06,9.2,5
7.5,0.49,1.8,110,0.9946,3.33,9.9,5
7.4,0.49,8.2,188,0.9974,3.52,9.7,6
7.4,0.49,8.2,188,0.9974,3.52,9.7,6
6.9,0.49,7,168,0.9957,3.54,10.3,6
7.8,0.49,3.1,116,0.9931,3.16,10.3,5
8.5,0.49,8.8,108,0.9947,2.88,10.5,4
6.2,0.49,1.4,74,0.9931,3.32,9.8,6
7.6,0.49,13.4,191,0.9989,3.22,9,4
9,0.49,7.2,84,0.9938,2.94,11.5,6
8.4,0.49,7.4,108,0.9934,3.03,11.9,7
9.3,0.49,1.3,147,0.9948,3.11,9.8,5
6.4,0.49,6.4,161,0.9945,3.34,10.4,6
8.6,0.49,7.3,63,0.9953,3.13,10.5,6
7,0.49,3.8,136,0.9938,2.95,9.4,6
6.4,0.49,7.3,206,0.9956,3.24,9.2,6
6.6,0.01,2.7,122,0.9906,3.15,11.9,5
6.4,0.49,7.3,206,0.9956,3.24,9.2,6
7,0.49,3.8,136,0.9938,2.95,9.4,6
8.2,0.49,8,223,0.996,3.08,10.7,6
5.6,0.24,4.7,77,0.9906,3.28,12.7,5
5.6,0.24,1.9,53,0.98815,3.32,13.5,7
6.7,0.01,2.8,137,0.9942,3.24,9.5,5
7.5,0.49,1.7,109,0.9906,3.07,12.5,6
5.8,0.49,4.9,118,0.9935,3.34,9.5,7
8.1,0.49,11.8,212,0.9968,3.09,10,7
7.5,0.49,1.7,109,0.9906,3.07,12.5,6
8.2,0.49,5.2,100,0.9941,3.12,10.1,6
7.8,0.49,3.2,87,0.9919,3.03,11.3,7
8,0.49,1.5,120,0.9928,3.26,10.6,7
8,0.49,11.7,131,0.9958,3.14,10.8,5
7.5,0.49,1.6,140,0.9932,3.4,10.7,6
6.9,0.49,7.3,206,0.9957,3.09,9,6
6.2,0.49,1.6,143,0.9937,3.22,9.2,6
6.4,0.49,13.3,243,0.9982,3.14,8.5,6
6.2,0.49,6,128,0.9928,3.41,11.3,8
7.8,0.49,3.2,87,0.9919,3.03,11.3,7
8.9,0.49,1.6,131,0.9956,3.13,9.4,5
6.5,0.49,7.7,169,0.9957,3.11,8.7,6
7,0.49,5.9,118,0.9954,3.36,9.4,6
9,0.49,1,131,0.993,3.09,10.5,7
6.4,0.49,6.4,161,0.9954,3.38,9.7,6
9,0.49,10.4,195,0.9987,3.31,10.2,6
8.9,0.49,1.6,131,0.9956,3.13,9.4,5
8.2,0.49,3.5,108,0.9928,3.19,11.5,6
7.8,0.24,7.7,98,0.9951,2.94,9.6,6
6.9,0.24,1.8,121,0.993,3.23,11.4,5
8.2,0.49,3.5,108,0.9928,3.19,11.5,6
7.1,0.49,6.5,111,0.9926,3.41,12.2,8
7.4,0.49,6.7,110,0.9938,3.2,11,7
8.3,0.49,16.8,228,1.0001,3.03,9.2,6
7.8,0.49,7,149,0.9952,3.21,10,5
8.1,0.49,1.2,160,0.9934,3.13,9.7,6
7.9,0.49,3.8,105,0.993,3.1,10.5,5
7.8,0.49,7,149,0.9952,3.21,10,5
6.4,0.49,7.5,151,0.9948,3.27,10.1,6
7.3,0.49,15.55,134,0.9998,3.42,9.1,7
8.1,0.49,12.3,144,0.9971,3.09,10.2,7
7.3,0.49,15.55,134,0.9998,3.42,9.1,7
7.5,0.49,9.4,149,0.9962,3.17,10.5,7
6.4,0.49,7.5,151,0.9948,3.27,10.1,6
7.8,0.49,1.2,99,0.99,3.05,12.1,7
7.1,0.49,1.6,100,0.9942,3.4,10.2,5
7.6,0.49,3.95,131,0.9912,3.08,12.8,7
8.2,0.49,1,118,0.9928,3.24,10.9,4
6.6,0.49,7.4,184,0.9956,3.11,9,5
7.8,0.49,1.3,142,0.9936,3.09,10.2,5
5.8,0.49,1.1,98,0.9929,3.19,9.2,5
7.8,0.49,7.8,162,0.9966,3.26,11.3,6
6.6,0.49,7.7,220,0.9964,3.12,8.8,5
6.6,0.49,7.7,217,0.996,3.16,9.3,5
6.6,0.49,7.8,217,0.9959,3.17,9.4,6
6.7,0.49,8.3,191,0.9954,3.23,10.3,6
